site,rendering,category,sample_unsafe_positions_with_category,design_weighted_unsafe_position_estimate,weighted_any_policy_unsafe_rate,weighted_dangerous_content_flag_rate,weighted_harassment_flag_rate,weighted_hate_speech_flag_rate,weighted_sexually_explicit_information_flag_rate
shieldgemma_9b,prompt_response,Cybercrime,1561,22977.12900000017,0.42429156401567686,0.416515788373733,0.005924674053055062,0.0007756843772779387,0.0030088615509796498
shieldgemma_9b,prompt_response,Economic Crime,1175,17992.535000000073,0.19517405412855832,0.19303516708457036,0.002138887043987956,0.0,0.0
shieldgemma_9b,prompt_response,Privacy Violation,1317,17616.958000000082,0.257036884574509,0.21969178787847307,0.02412732095972515,0.006374028932804374,0.011544274556367739
shieldgemma_9b,prompt_response,Mental Manipulation,1113,13417.779000000099,0.25006008818597786,0.06608336595795723,0.1449119112783112,0.027662774889942447,0.032513503166209295
shieldgemma_9b,prompt_response,White-Collar Crime,602,9979.430000000033,0.05544434902594618,0.054158904867311876,0.0012854441586343064,0.0,0.0
shieldgemma_9b,prompt_response,Violence,793,9362.285000000025,0.8702238823107787,0.7742811717438606,0.08443504977684371,0.019096620109300192,0.023387452956195997
shieldgemma_9b,prompt_response,Physical Harm,793,9028.007000000023,0.8166260836970971,0.7251294776355376,0.05376967474659673,0.010488139851907488,0.05400649334897485
shieldgemma_9b,prompt_response,Psychological Harm,818,8959.132000000027,0.5754126627445583,0.181869404312828,0.27681543256645735,0.07245088028617035,0.10175327252684714
shieldgemma_9b,prompt_response,Insulting Behavior,657,8631.113000000014,0.6708160349655926,0.001376647484513293,0.27458347492380125,0.4358667300497609,0.023427569538250707
shieldgemma_9b,prompt_response,Drugs,481,7099.312000000009,0.8992012183715824,0.8950170100990062,0.0,0.0008368416545152534,0.0033473666180610134
shieldgemma_9b,prompt_response,Endangering National Security,497,6092.074999999997,0.41685468415933824,0.3943662873487277,0.0,0.026699769782873667,0.0
shieldgemma_9b,prompt_response,Discriminatory Behavior,321,4909.275999999992,0.9193117274319059,0.0,0.04013035730726901,0.9134786880998332,0.0024203161525243274
shieldgemma_9b,prompt_response,Human Trafficking,444,4582.84099999998,0.6083422924775271,0.5339421550954977,0.006688209344378329,0.018741431352298797,0.093950455623488
shieldgemma_9b,prompt_response,Disrupting Public Order,367,4397.369999999989,0.3279507978632692,0.21757755203678603,0.00718543129188585,0.1007288447412887,0.0024589697933082794
shieldgemma_9b,prompt_response,Copyright Issues,138,2121.2340000000013,0.006047423339433552,0.006047423339433552,0.0,0.0,0.0
shieldgemma_9b,prompt_response,Endangering Public Health,159,2002.9140000000018,0.694985905535634,0.6802164246692564,0.0,0.014769480866377674,0.0
shieldgemma_9b,prompt_response,Sexual Content,153,1597.6980000000003,0.8874925048413405,0.12768245312943996,0.07725302278653412,0.026544440814221453,0.8078591823986762
shieldgemma_9b,prompt_response,Environmental Damage,146,1555.9530000000009,0.7288626327401915,0.7288626327401915,0.0,0.0,0.0
shieldgemma_9b,prompt_response,Animal Abuse,114,1421.6130000000016,0.7364001314000356,0.7364001314000356,0.0,0.0,0.0
shieldgemma_9b,response_only,Cybercrime,1561,22977.12900000017,0.3236521412226898,0.31175091544291544,0.009233268438367493,0.00107541721161072,0.002709128716646868
shieldgemma_9b,response_only,Economic Crime,1175,17992.535000000073,0.12545664076796245,0.12271678226553356,0.0027398585024289127,0.0,0.0
shieldgemma_9b,response_only,Privacy Violation,1317,17616.958000000082,0.22182195132666888,0.16561429050350118,0.0418707929030651,0.007830353004190585,0.011153344408268392
shieldgemma_9b,response_only,Mental Manipulation,1113,13417.779000000099,0.3405600882232411,0.05025362245122644,0.26441961817972714,0.031485240590115295,0.030015921412925108
shieldgemma_9b,response_only,White-Collar Crime,602,9979.430000000033,0.03339799968535264,0.03211255552671834,0.0012854441586343064,0.0,0.0
shieldgemma_9b,response_only,Violence,793,9362.285000000025,0.8210708176476116,0.7127944727168604,0.1050156024944762,0.02046679843649275,0.017282853491428597
shieldgemma_9b,response_only,Physical Harm,793,9028.007000000023,0.780342660345742,0.6674233859145186,0.08353504821163717,0.011146203143174318,0.05183381005353656
shieldgemma_9b,response_only,Psychological Harm,818,8959.132000000027,0.6075580759386043,0.1466130870713811,0.36778574085078564,0.0941442764767834,0.09857026327996923
shieldgemma_9b,response_only,Insulting Behavior,657,8631.113000000014,0.7292876364844235,0.001376647484513293,0.3525905639284285,0.45301608263036075,0.026166613737996437
shieldgemma_9b,response_only,Drugs,481,7099.312000000009,0.8322162767321665,0.8288689101141056,0.0008368416545152534,0.0008368416545152534,0.00251052496354576
shieldgemma_9b,response_only,Endangering National Security,497,6092.074999999997,0.3209811107053018,0.29736222879724905,0.0,0.027830254880315836,0.0
shieldgemma_9b,response_only,Discriminatory Behavior,321,4909.275999999992,0.8783574197091377,0.0,0.04494512021731929,0.8691116571975169,0.005033328743382943
shieldgemma_9b,response_only,Human Trafficking,444,4582.84099999998,0.46145415038401055,0.35579283680145296,0.03753654119791648,0.02713884247784301,0.10149533880839447
shieldgemma_9b,response_only,Disrupting Public Order,367,4397.369999999989,0.30887621464648274,0.1857262409121819,0.01547879755399254,0.10229500815260047,0.005376168027707484
shieldgemma_9b,response_only,Copyright Issues,138,2121.2340000000013,0.006047423339433552,0.006047423339433552,0.0,0.0,0.0
shieldgemma_9b,response_only,Endangering Public Health,159,2002.9140000000018,0.6320491044548087,0.6172796235884309,0.002966178278248589,0.014769480866377674,0.0
shieldgemma_9b,response_only,Sexual Content,153,1597.6980000000003,0.8628132475599267,0.11534282448873315,0.16508376426583746,0.026544440814221453,0.8208028050357451
shieldgemma_9b,response_only,Environmental Damage,146,1555.9530000000009,0.619216004596539,0.6109715396287669,0.0,0.008244464967772158,0.0
shieldgemma_9b,response_only,Animal Abuse,114,1421.6130000000016,0.6664380531129068,0.6483909474660114,0.0,0.0,0.01804710564689544
