design_weighted_pair_estimate,external_pair_relation,native_stratum,pku_safer_winner_is_safe,rendering,sample_pairs,site
7845.524999999978,both_external_safe,L1_no_recorded_safety_field_difference,false,prompt_response,177,shieldgemma_9b
29254.50000000032,both_external_safe,L1_no_recorded_safety_field_difference,true,prompt_response,660,shieldgemma_9b
5141.699999999989,both_external_unsafe,L1_no_recorded_safety_field_difference,false,prompt_response,116,shieldgemma_9b
487.57499999999993,both_external_unsafe,L1_no_recorded_safety_field_difference,true,prompt_response,11,shieldgemma_9b
443.24999999999994,safer_external_safe_alternative_unsafe,L1_no_recorded_safety_field_difference,false,prompt_response,10,shieldgemma_9b
753.5250000000002,safer_external_safe_alternative_unsafe,L1_no_recorded_safety_field_difference,true,prompt_response,17,shieldgemma_9b
265.95,safer_external_unsafe_alternative_safe,L1_no_recorded_safety_field_difference,false,prompt_response,6,shieldgemma_9b
132.97500000000002,safer_external_unsafe_alternative_safe,L1_no_recorded_safety_field_difference,true,prompt_response,3,shieldgemma_9b
6670.560000000079,both_external_safe,L2_category_difference_tied_safety_and_severity,false,prompt_response,520,shieldgemma_9b
5169.684000000028,both_external_unsafe,L2_category_difference_tied_safety_and_severity,false,prompt_response,403,shieldgemma_9b
641.3999999999993,safer_external_safe_alternative_unsafe,L2_category_difference_tied_safety_and_severity,false,prompt_response,50,shieldgemma_9b
346.3559999999998,safer_external_unsafe_alternative_safe,L2_category_difference_tied_safety_and_severity,false,prompt_response,27,shieldgemma_9b
2501.160999999992,both_external_safe,L3_severity_difference_same_safety_state,false,prompt_response,421,shieldgemma_9b
2715.036999999985,both_external_unsafe,L3_severity_difference_same_safety_state,false,prompt_response,457,shieldgemma_9b
510.92599999999896,safer_external_safe_alternative_unsafe,L3_severity_difference_same_safety_state,false,prompt_response,86,shieldgemma_9b
213.87600000000006,safer_external_unsafe_alternative_safe,L3_severity_difference_same_safety_state,false,prompt_response,36,shieldgemma_9b
7017.637000000055,both_external_safe,L4_safety_boundary_difference,true,prompt_response,649,shieldgemma_9b
540.6499999999996,both_external_unsafe,L4_safety_boundary_difference,true,prompt_response,50,shieldgemma_9b
3222.27400000002,safer_external_safe_alternative_unsafe,L4_safety_boundary_difference,true,prompt_response,298,shieldgemma_9b
32.439,safer_external_unsafe_alternative_safe,L4_safety_boundary_difference,true,prompt_response,3,shieldgemma_9b
7978.499999999977,both_external_safe,L1_no_recorded_safety_field_difference,false,response_only,180,shieldgemma_9b
28722.60000000031,both_external_safe,L1_no_recorded_safety_field_difference,true,response_only,648,shieldgemma_9b
4388.174999999992,both_external_unsafe,L1_no_recorded_safety_field_difference,false,response_only,99,shieldgemma_9b
620.5500000000001,both_external_unsafe,L1_no_recorded_safety_field_difference,true,response_only,14,shieldgemma_9b
664.8750000000001,safer_external_safe_alternative_unsafe,L1_no_recorded_safety_field_difference,false,response_only,15,shieldgemma_9b
886.5000000000003,safer_external_safe_alternative_unsafe,L1_no_recorded_safety_field_difference,true,response_only,20,shieldgemma_9b
664.8750000000001,safer_external_unsafe_alternative_safe,L1_no_recorded_safety_field_difference,false,response_only,15,shieldgemma_9b
398.92499999999995,safer_external_unsafe_alternative_safe,L1_no_recorded_safety_field_difference,true,response_only,9,shieldgemma_9b
6798.840000000083,both_external_safe,L2_category_difference_tied_safety_and_severity,false,response_only,530,shieldgemma_9b
4323.036,both_external_unsafe,L2_category_difference_tied_safety_and_severity,false,response_only,337,shieldgemma_9b
1051.8959999999986,safer_external_safe_alternative_unsafe,L2_category_difference_tied_safety_and_severity,false,response_only,82,shieldgemma_9b
654.2279999999993,safer_external_unsafe_alternative_safe,L2_category_difference_tied_safety_and_severity,false,response_only,51,shieldgemma_9b
2720.9779999999846,both_external_safe,L3_severity_difference_same_safety_state,false,response_only,458,shieldgemma_9b
2358.5769999999966,both_external_unsafe,L3_severity_difference_same_safety_state,false,response_only,397,shieldgemma_9b
611.9229999999994,safer_external_safe_alternative_unsafe,L3_severity_difference_same_safety_state,false,response_only,103,shieldgemma_9b
249.52200000000008,safer_external_unsafe_alternative_safe,L3_severity_difference_same_safety_state,false,response_only,42,shieldgemma_9b
7147.393000000056,both_external_safe,L4_safety_boundary_difference,true,response_only,661,shieldgemma_9b
854.2269999999993,both_external_unsafe,L4_safety_boundary_difference,true,response_only,79,shieldgemma_9b
2724.876000000015,safer_external_safe_alternative_unsafe,L4_safety_boundary_difference,true,response_only,252,shieldgemma_9b
86.504,safer_external_unsafe_alternative_safe,L4_safety_boundary_difference,true,response_only,8,shieldgemma_9b
