design_weighted_position_estimate,external_unsafe,pku_unsafe,rendering,sample_response_positions,severity_level,site
68185.47899999858,false,false,prompt_response,2187,0,deepseek_v4_flash_safety_judge
3884.671000000007,true,false,prompt_response,195,0,deepseek_v4_flash_safety_judge
10.813,true,true,prompt_response,1,0,deepseek_v4_flash_safety_judge
1681.2010000000028,false,true,prompt_response,150,1,deepseek_v4_flash_safety_judge
7273.247999999966,true,true,prompt_response,655,1,deepseek_v4_flash_safety_judge
2333.3490000000033,false,true,prompt_response,174,2,deepseek_v4_flash_safety_judge
53396.16800000052,true,true,prompt_response,3617,2,deepseek_v4_flash_safety_judge
231.59199999999998,false,true,prompt_response,10,3,deepseek_v4_flash_safety_judge
10817.479000000085,true,true,prompt_response,1011,3,deepseek_v4_flash_safety_judge
70619.22799999829,false,false,response_only,2316,0,deepseek_v4_flash_safety_judge
1450.9220000000016,true,false,response_only,66,0,deepseek_v4_flash_safety_judge
10.813,true,true,response_only,1,0,deepseek_v4_flash_safety_judge
5440.121999999989,false,true,response_only,464,1,deepseek_v4_flash_safety_judge
3514.326999999992,true,true,response_only,341,1,deepseek_v4_flash_safety_judge
12333.500000000056,false,true,response_only,847,2,deepseek_v4_flash_safety_judge
43396.01700000035,true,true,response_only,2944,2,deepseek_v4_flash_safety_judge
1705.2400000000016,false,true,response_only,144,3,deepseek_v4_flash_safety_judge
9343.831000000033,true,true,response_only,877,3,deepseek_v4_flash_safety_judge
