source_file,source_line,response_0_sha256,response_1_sha256,stratum,stratum_population_N_h,stratum_sample_n_h,inclusion_probability,design_weight_N_h_over_n_h,within_stratum_draw_order
Alpaca-7B-train.jsonl,9998,46e8d2b0b7a2127a42b0a530d972d31275fb6d7201b1ed003dad50c342f0515b,8957f71c9202821648039118bfaaffe2e5315dd615f8d69b1092ec5a12b63195,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,1
Alpaca2-7B-train.jsonl,14995,15fc3d3e66d4d017182a02572e46376b3e70c3a7129d916354f1e602bc60c699,201581f92ad96eee495bebe52d6c55f78740221491d650458dee82134c5551c3,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,2
Alpaca-7B-train.jsonl,3241,260d86bdb56bad772888e651d6e087722877ba2a99f9e8fb9ef80197f27c997f,71f83b5f1c9919281431f72822456b3f33c588cc62eec26622fe9463b7b07d7a,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,3
Alpaca-7B-train.jsonl,10980,e9e1704b92b3ec52068dd53b8eed205d9fa400d65f4ef80d45efa6fa2083d05c,e767219f862a49d9dcb12ecddefb2e7d3f169829d9a59bfdeffd0ba78a2f5751,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,4
Alpaca3-8B-train.jsonl,2040,b1ce721aadf78b5e58400ea0b153f8ce1ef49c6891f1d206899483ed3b07f16d,5821a2e21aef4b37c2d8bac26978244ff1c80715d01fb3b6cf7bc5766b16138c,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,5
Alpaca3-8B-train.jsonl,2132,257213fe7897c024b5014bfe875160f9360a05dd995d5be2f841f9f2d360151f,60a8bb41decfd5edb6722e6ad3a0ba4fb952b0edc5f9772d5af797ffacdacee8,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,6
Alpaca3-8B-train.jsonl,4730,297bbaa51cdaa7b8f632e05dccb5d4383e48349f82bc218782c73bd97c7503fa,dac9919f8d829e989d68fe92aa9720fee54a795b3f527052ebcc4e5e034b02a9,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,7
Alpaca-7B-train.jsonl,13502,8195b505e078613aa733680cae11185f52d026dd2b11309f60ba81ab83eb40f5,bfd4e7da3462722e1c362e878491e7be6e17c51ea129a1f15f781a69fdd3c236,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,8
Alpaca-7B-train.jsonl,22912,92263e2cf99741196665c703ab56bc5d85acac28b6238f6c690e08bb93ea5592,24eb23fa02b665c41d29410772de943c7d7c91a35dd104010189e9f6b56ab799,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,9
Alpaca2-7B-train.jsonl,11570,7655dff520711ef82ee790b07d18e141059b26dde1a1c330d1f5b5648affb0c3,affa8b1c1d6a2a29f3d3f23df82604ec05f297149d58383785002c517686c913,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,10
Alpaca2-7B-train.jsonl,12372,00c3ccf3c434bbcff6399ffa8326816e7a18417360e2a6e317f6cc34784842e5,27633451199cb31ce704ccfcee544ea694f945faa4097ad1be29a0c659bad325,L1_no_recorded_safety_field_difference,44325,1841,0.04153412295544275,24.076588810429115,11
